genus;short;species;autorite;country;tdwg_level;latitude;longitude
Oliparisca;penrissensis;Oliparisca penrissensis;(Van Stalle, 1991);Malaysia (Borneo);3.0;;
Oliparisca;pundaloyensis;Oliparisca pundaloyensis;(Van Stalle, 1991);China (Tibet) (Xizang);4.0;31.712301;88.11841654
Oliparisca;pundaloyensis;Oliparisca pundaloyensis;(Van Stalle, 1991);Sri Lanka;4.0;7.61235709;80.70426571
Oliparisca;simplex;Oliparisca simplex;(Walker, 1857);Indonesia;4.0;;
Oliparisca;simplex;Oliparisca simplex;(Walker, 1857);Indonesia (Borneo);3.0;;
Oliparisca;simplex;Oliparisca simplex;(Walker, 1857);Malaysia (Borneo);3.0;;
Oliparisca;sulawesiensis;Oliparisca sulawesiensis;(Van Stalle, 1991);Indonesia (Sulawesi);4.0;-2.10406843;121.2948301
Orphninus;mouldsi;Orphninus mouldsi;Emeljanov, 2000;Australia (New South Wales);4.0;-32.17021086;147.0127743
Orphninus;mouldsi;Orphninus mouldsi;Emeljanov, 2000;Australia (Queensland);4.0;-22.57378083;144.5481729
Orphninus;mouldsi;Orphninus mouldsi;Emeljanov, 2000;Australia (Australian Capital Territory);4.0;-35.50859976;148.9969681
Pachyntheisa;concinna;Pachyntheisa concinna;Fowler, 1904;Mexico;2.0;;
Pachyntheisa;excelsior;Pachyntheisa excelsior;Fowler, 1904;Mexico;2.0;;
Paracixius;armiger;Paracixius armiger;Fennah, 1944;Panama;4.0;8.50542914;-80.10899702
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;United States of America (Mississippi);4.0;32.75582597;-89.67327133
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Brazil North (ParÃƒÂ¡);4.0;-4.035679;-53.12350521
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Jamaica;4.0;18.15132857;-77.31974834
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Mexico Northwest (Baja California Sur);4.0;25.91951902;-112.0439746
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Mexico Southeast (Quintana Roo);4.0;19.55871322;-88.2542752
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Panama;4.0;8.50542914;-80.10899702
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Trinidad-Tobago;4.0;10.46836429;-61.25263722
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Venezuela;4.0;7.11881722;-66.16904087
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Florida;3.0;;
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;United States of America (Texas);4.0;31.49694154;-99.35743679
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Belize;4.0;17.2185052;-88.68282364
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Great Britain (Cayman Islands);4.0;19.431525;-80.82909683
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Colombia;4.0;3.89994003;-73.07536004
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Costa Rica;4.0;9.97048332;-84.18900416
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Cuba;4.0;21.62012559;-79.03522543
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Dominican Republic;4.0;18.89309066;-70.48543965
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;United States of America (Florida, neotropical);4.0;28.65142195;-82.48405094
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Mexico Gulf (Veracruz);4.0;19.37738436;-96.405429
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;Mexico Central (Morelos);4.0;18.75832012;-99.07010981
Paramyndus;cocois;Paramyndus cocois;Fennah, 1945;United States of America (Florida, nearctic);4.0;28.65142195;-82.48405094
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);United States of America (Mississippi);4.0;32.75582597;-89.67327133
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Brazil North (ParÃƒÂ¡);4.0;-4.035679;-53.12350521
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Jamaica;4.0;18.15132857;-77.31974834
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Mexico Northwest (Baja California Sur);4.0;25.91951902;-112.0439746
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Mexico Southeast (Quintana Roo);4.0;19.55871322;-88.2542752
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Panama;4.0;8.50542914;-80.10899702
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Trinidad-Tobago;4.0;10.46836429;-61.25263722
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Venezuela;4.0;7.11881722;-66.16904087
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Florida;3.0;;
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);United States of America (Texas);4.0;31.49694154;-99.35743679
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Belize;4.0;17.2185052;-88.68282364
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Great Britain (Cayman Islands);4.0;19.431525;-80.82909683
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Colombia;4.0;3.89994003;-73.07536004
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Costa Rica;4.0;9.97048332;-84.18900416
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Cuba;4.0;21.62012559;-79.03522543
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Dominican Republic;4.0;18.89309066;-70.48543965
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);United States of America (Florida, neotropical);4.0;28.65142195;-82.48405094
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Mexico Gulf (Veracruz);4.0;19.37738436;-96.405429
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);Mexico Central (Morelos);4.0;18.75832012;-99.07010981
Paramyndus;crudus;Paramyndus crudus;(Van Duzee, 1907);United States of America (Florida, nearctic);4.0;28.65142195;-82.48405094
Parasemo;hutchesoni;Parasemo hutchesoni;LariviÃ¨re, 1999;New Zealand North;4.0;-38.57756133;175.7272178
Peartolus;bipustulata;Peartolus bipustulata;Van Stalle, 1986;Cameroon;4.0;5.68579632;12.74325047
Peartolus;macarangae;Peartolus macarangae;(Van Duzee, 1984);;;;
Peartolus;pattersoni;Peartolus pattersoni;(Lallemand, 1929);Australia;2.0;;
Pentalia;maculata;Pentalia maculata;Osborn, 1935;United States of America (Puerto Rico);4.0;18.22091539;-66.46614558
Pentastira;atrata;Pentastira atrata;(Dlabola, 1958);;;;
Pentastira;bahtiarica;Pentastira bahtiarica;(Dlabola, 1981);Iran;4.0;32.56479713;54.30142285
Pentastira;demaculata;Pentastira demaculata;Dlabola, 1989;;;;
Pentastira;eindrahamica;Pentastira eindrahamica;Dlabola, 1997;Tunisia;4.0;34.11124296;9.56155572
Pentastira;erebunii;Pentastira erebunii;Emeljanov, 1978;Armenia;4.0;40.28641688;44.94793424
Pentastira;interjecta;Pentastira interjecta;(Linnavuori, 1957);Lebanon;4.0;33.92037359;35.8880822
Pentastira;interjecta;Pentastira interjecta;(Linnavuori, 1957);Israel;4.0;31.48781564;35.02148317
Pentastira;major;Pentastira major;Kirschbaum, 1868;Turkey;4.0;38.98893748;35.43587039
