genus;short;species;autorite;country;tdwg_level;latitude;longitude
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Ethiopia;4.0;8.62614057;39.6160194
Pentastiridius;kassalanus;Pentastiridius kassalanus;Van Stalle, 1986;Sudan;4.0;13.88720329;30.08706657
Pentastiridius;kaszabianus;Pentastiridius kaszabianus;(Dlabola, 1970);Russia (Primorye);4.0;45.16706365;134.7137746
Pentastiridius;kaszabianus;Pentastiridius kaszabianus;(Dlabola, 1970);Russia (Tuva);4.0;51.57947047;94.79308741
Pentastiridius;kaszabianus;Pentastiridius kaszabianus;(Dlabola, 1970);Mongolia;4.0;46.83520929;103.083029
Pentastiridius;laevifrons;Pentastiridius laevifrons;Mitjaev, 1975;Kazakhstan;4.0;48.16004423;67.30130123
Pentastiridius;laevifrons;Pentastiridius laevifrons;Mitjaev, 1975;Kyrgyzstan;4.0;41.46490869;74.55549193
Pentastiridius;latus;Pentastiridius latus;(Melichar, 1905);Tanzania;4.0;-6.27019678;34.8234036
Pentastiridius;leporinus;Pentastiridius leporinus;(Linn̩, 1761);Tadzhikistan;4.0;38.52781577;71.04218428
Pentastiridius;leporinus;Pentastiridius leporinus;(Linn̩, 1761);Tunisia;4.0;34.11124296;9.56155572
Pentastiridius;leporinus;Pentastiridius leporinus;(Linn̩, 1761);Turkey;4.0;38.98893748;35.43587039
Pentastiridius;leporinus;Pentastiridius leporinus;(Linn̩, 1761);Turkmenistan;4.0;39.12222047;59.38352408
